"hour","day_of_week","mean_length","median_length","total_rides"
17,"Thursday",12.0139447910378,9.28333333333333,9938
17,"Wednesday",12.4568332800455,9.41666666666667,9383
17,"Tuesday",12.2894410864861,9.25,8934
17,"Monday",12.0656273199703,9.29166666666666,8082
8,"Thursday",11.0272601495065,8.83333333333333,8071
17,"Friday",11.7127761827487,9,8011
8,"Friday",11.091014551516,8.68333333333333,7399
16,"Thursday",11.6461076208686,9.05,7322
8,"Tuesday",11.6957712129578,8.91666666666667,7244
16,"Friday",11.4288935870331,8.9,7095
8,"Wednesday",10.9423762077295,8.7,6624
16,"Wednesday",11.6495350717607,9.03333333333333,6596
16,"Tuesday",11.6075636731004,9.15,6269
7,"Thursday",10.5450066080561,8.3,5801
16,"Monday",11.4973808261151,9.13333333333333,5657
8,"Monday",11.147146585988,8.78333333333333,5619
7,"Friday",10.4402838427948,8,5496
7,"Tuesday",10.9523601239293,8.35,5487
18,"Wednesday",11.5174466788544,8.56666666666667,5470
18,"Thursday",11.2104308390023,8.25,5292
18,"Tuesday",12.4860955989895,8.39166666666667,5014
7,"Wednesday",10.2065880141992,8.06666666666667,4789
18,"Monday",12.0800051656704,8.18333333333333,4517
18,"Friday",11.902509001762,8.5,4351
7,"Monday",10.5797792005253,8.41666666666667,4061
15,"Friday",11.6224021767297,8.35,3859
15,"Thursday",11.7527459839357,8.51666666666667,3320
9,"Thursday",10.556847826087,7.875,3220
19,"Wednesday",10.5560167514843,7.96666666666667,3144
15,"Tuesday",11.8410773849233,8.45833333333334,2998
19,"Thursday",10.6821516164994,7.89166666666667,2990
9,"Friday",10.5474350358423,7.63333333333333,2976
9,"Tuesday",10.9081490302824,8.23333333333333,2939
15,"Wednesday",11.3478357952594,8.4,2911
13,"Saturday",14.4682178804026,9.96666666666667,2815
19,"Tuesday",10.5944444444444,8.06666666666667,2787
12,"Saturday",14.0559204892966,9.56666666666667,2725
6,"Thursday",10.0959618208517,7.80833333333334,2724
9,"Wednesday",10.2997781065089,7.99166666666667,2704
14,"Friday",11.0862509252406,7.86666666666667,2702
14,"Saturday",14.5309303187546,9.875,2698
15,"Saturday",15.1621314766027,10.25,2657
6,"Tuesday",10.1457805907173,8.16666666666667,2607
11,"Saturday",13.7137098861284,9.05,2576
6,"Friday",10.1445286531046,7.7,2507
12,"Friday",11.0198785425101,7.05,2470
15,"Monday",10.9101366896738,8.4,2463
6,"Wednesday",9.78871078229895,8.01666666666667,2433
19,"Monday",10.9331272327562,7.65,2426
13,"Friday",11.3020487264673,7.34166666666667,2408
19,"Friday",11.8383881532109,8.11666666666667,2341
12,"Sunday",12.3148378339763,8.83333333333333,2333
12,"Thursday",10.0009080509081,7.06666666666667,2331
16,"Saturday",14.7555264688773,9.64166666666667,2292
13,"Sunday",12.8159474533979,8.75,2271
10,"Saturday",12.1282537557638,8.01666666666667,2241
14,"Sunday",13.223642889188,9.08333333333333,2229
12,"Tuesday",11.0382526029878,7.31666666666667,2209
13,"Thursday",11.7370759166286,7.53333333333333,2191
15,"Sunday",12.8743267914194,9.05,2191
11,"Friday",10.6724097515237,7.41666666666667,2133
14,"Thursday",10.8721310193871,7.98333333333333,2132
11,"Sunday",12.6173735469683,8.4,2122
6,"Monday",10.0522605545054,7.95,2116
9,"Monday",9.71155131264916,7.85,2095
13,"Tuesday",10.9630787589499,7.31666666666667,2095
10,"Sunday",12.7163417136993,8,1949
9,"Saturday",11.5741988003428,7.91666666666667,1945
14,"Wednesday",11.9942085275332,7.9,1931
14,"Tuesday",12.0391770401106,8.21666666666667,1928
16,"Sunday",12.4250435388366,8.69166666666666,1914
17,"Saturday",16.0085976039464,9.29166666666666,1892
20,"Wednesday",12.9519533369506,8.35,1843
11,"Thursday",12.0850245499182,7.43333333333333,1833
12,"Wednesday",10.6977347161572,6.91666666666667,1832
11,"Tuesday",11.0854656460725,7.65,1829
13,"Wednesday",10.7920464946,7.3,1821
11,"Wednesday",11.1028434684685,7.49166666666667,1776
20,"Thursday",10.772819047619,7.9,1750
12,"Monday",10.355111238972,6.95,1738
17,"Sunday",13.4708747321255,8.78333333333333,1711
10,"Thursday",10.2452223557692,7.675,1664
10,"Friday",10.9569108151735,7.95,1652
13,"Monday",11.374199107867,6.91666666666667,1644
20,"Tuesday",11.6071690054912,7.96666666666667,1639
14,"Monday",12.325305907173,7.93333333333333,1580
8,"Saturday",10.4752240143369,7.79166666666666,1488
10,"Tuesday",11.6810682893847,7.93333333333333,1479
18,"Saturday",15.5301673450927,9.34166666666667,1474
20,"Monday",11.498727735369,7.6,1441
11,"Monday",11.6536882393876,7.38333333333333,1437
10,"Wednesday",10.0680752840909,7.59166666666667,1408
18,"Sunday",13.3144,8.65,1375
20,"Friday",11.6199095022624,8.06666666666667,1326
9,"Sunday",11.2593182996371,7.7,1286
21,"Wednesday",13.1937647058824,8.53333333333333,1275
21,"Thursday",10.42738791423,7.95,1197
19,"Saturday",15.2414548022599,8.78333333333333,1180
10,"Monday",9.87943995208146,7.9,1113
19,"Sunday",12.1899094033115,8.7,1067
21,"Tuesday",10.3920825335893,7.75833333333333,1042
21,"Monday",11.5846477923829,8.38333333333333,989
8,"Sunday",11.2120484171322,7.43333333333333,895
21,"Friday",16.3739008792966,7.88333333333333,834
20,"Saturday",11.5716352201258,8.31666666666667,795
5,"Thursday",9.62215216477512,6.7,793
7,"Saturday",10.6380336351876,7.68333333333333,773
5,"Friday",12.7106198526225,7,769
22,"Thursday",10.1325197889182,7.61666666666667,758
5,"Tuesday",9.22001375515818,6.38333333333333,727
5,"Wednesday",8.71000918273646,6.74166666666667,726
20,"Sunday",12.8105885190545,7.36666666666667,691
22,"Friday",12.929644373673,8.2,628
22,"Wednesday",9.80203317281969,7.4,623
5,"Monday",8.55623655913979,6.48333333333333,620
21,"Saturday",15.8493705528188,8.95,609
21,"Sunday",15.4004429678848,8.9,602
22,"Tuesday",10.1376344086021,7.28333333333333,589
22,"Saturday",11.5781556372549,8.53333333333333,544
7,"Sunday",10.4514,8.125,500
22,"Monday",10.3560026827632,7.6,497
23,"Friday",10.1787518037518,7.55,462
23,"Saturday",12.9652582159624,8.91666666666667,426
22,"Sunday",11.5233013589129,8.11666666666667,417
23,"Thursday",10.8618744698897,7.5,393
0,"Sunday",17.7014050387597,7.525,344
0,"Saturday",11.4606153846154,7.81666666666667,325
23,"Wednesday",11.5256613756614,8.11666666666667,315
23,"Tuesday",16.1507738095238,7.69166666666666,280
6,"Saturday",11.0457232704403,9.18333333333333,265
0,"Friday",13.3843926553672,6.68333333333334,236
1,"Saturday",11.5574391988555,7.1,233
1,"Sunday",11.8373333333333,8.41666666666667,225
23,"Monday",11.3445185185185,8.23333333333333,225
23,"Sunday",11.7452136752137,8.83333333333333,195
0,"Tuesday",12.616404886562,6.61666666666667,191
6,"Sunday",10.1959484346225,7.85,181
4,"Thursday",8.42490740740741,6.15833333333333,180
0,"Thursday",9.08189655172414,5.95,174
4,"Tuesday",7.73611111111111,5.59166666666667,174
2,"Sunday",10.8119883040936,7.6,171
4,"Wednesday",7.39376278118609,5.6,163
4,"Monday",8.43470464135021,6.1,158
0,"Wednesday",9.14647435897436,6.65,156
4,"Friday",8.37333333333333,6.01666666666667,155
2,"Saturday",11.2989417989418,7.85833333333334,126
1,"Friday",12.5810666666667,8.83333333333333,125
5,"Saturday",10.4286111111111,8.18333333333334,120
0,"Monday",10.8019005847953,7.5,114
3,"Sunday",13.1609649122807,9.36666666666667,114
1,"Tuesday",9.59182692307692,8,104
3,"Saturday",16.7475247524753,8.53333333333333,101
5,"Sunday",11.5061224489796,7.83333333333333,98
2,"Friday",11.3814606741573,7.96666666666667,89
1,"Wednesday",7.97901960784314,6,85
3,"Friday",10.6920091324201,7.88333333333333,73
1,"Thursday",9.23402777777778,6.725,72
3,"Thursday",11.3826190476191,7.025,70
2,"Tuesday",11.8448529411765,8.98333333333333,68
4,"Sunday",10.6674019607843,7.83333333333333,68
3,"Wednesday",11.0979487179487,8.73333333333333,65
2,"Thursday",8.8962962962963,8.48333333333333,63
2,"Wednesday",23.0303278688525,8.43333333333333,61
4,"Saturday",11.9059322033898,6.3,59
3,"Tuesday",11.2348765432099,5.78333333333333,54
1,"Monday",14.786,10.3833333333333,50
2,"Monday",18.0619658119658,9.21666666666667,39
3,"Monday",11.9662037037037,7.09166666666667,36
